	CFU_E_1	CFU_E_2	CFU_E_3	Pro_E_1	Pro_E_2	Pro_E_3	Int_E_1	Int_E_2	Int_E_3	Late_E_1	Late_E_2	Late_E_3
HSPB6	1.07725955720957	0.973559125423013	0.975656308715599	0.967993337809521	0.967212151121868	0.990480935718458	0.965176878304412	0.971770807485697	0.96560008545882	0.979952304911202	0.982719949831742	0.982723850670512
HSPB7	0.99688585230892	0.930371414897456	0.939619572201809	0.979264249283715	0.970368280770782	0.961591882401705	0.925270714568373	0.943280899520871	0.983118472426553	1.05588195453988	1.03434063781151	1.0013083849262
HSPB8	1.06953366123303	1.04256996882586	1.1420561506933	1.02551388195378	1.06302883592411	1.08267479852654	1.05032585783319	1.03787042586111	1.08719945649778	1.06988758397847	1.11237259970093	1.0966973637708
HSPBAP1	1.47428218166947	1.83631830816767	1.67588463907686	1.50487859272399	1.60314528246131	1.67394092859624	1.42457336318846	1.45325491043628	1.51830756779288	1.43228326337086	2.72784418558778	2.30565577229243
HSPBP1	1.98780104359396	1.89330481146255	2.86531044289803	2.43519263199054	1.72320222098619	2.52573217433958	1.33468445160113	1.38872509706608	1.520897218793	1.0299605129109	1.00008020650647	1.1012466996861
HSPD1	22.5813345200838	18.5509818171391	16.505454544523	19.7822448194188	17.2630867501469	16.6604114026037	14.0414846573532	14.2938868919736	11.8638868999064	11.8850863319097	19.3386679039831	14.5756075114776
HSPG2	1.27456662797716	1.12586764842633	1.23438124938276	1.20176633769554	1.11331053162097	1.11357022636148	1.08967319604322	1.07012525439646	1.20905720134015	1.22840223680804	1.10977000178556	1.11923777388254
HSPH1	6.03106153221991	6.77668160170569	6.03294533479702	5.68994779788845	5.79041171731056	5.53853736300713	5.70911272746356	5.5021523521002	4.05523124698302	5.04075678584652	7.89994508969498	5.78350938804627
HTATIP2	2.54175299352936	3.39633813763639	3.32449837693186	2.81722744677697	3.50524188256888	3.13805949650366	4.03864583716887	4.04198474151154	4.03254870039894	4.20851396454314	3.94247003565603	3.90940837143759
HTATSF1	5.71404112197772	6.49415037428762	6.10038250224442	6.04472819816681	6.39730955955716	5.85644030720175	5.3752611911378	5.34611138705101	4.4624442194136	2.41579393980697	2.54640618765778	2.28965072475027
HTN1	0.915897677256931	0.880669929580802	0.869615334416485	0.850540738298306	0.901909176450129	0.9191224761168	0.855449910604291	0.888699075346864	0.923604562862479	0.863378838517574	0.916954344813815	0.88979387059311
HTR1A	0.826926126940535	0.841714225112218	0.80424198594814	0.827438588296977	0.80894405593001	0.771551798461306	0.810922964796489	0.833220244578632	0.803367862894849	0.833940693886577	0.867502644061037	0.779479850826586
HTR1B	1.02430307331821	0.951977511114775	0.920008549654587	0.973194150101754	0.937284768540914	0.917448527511096	0.983310468839098	0.910910447491919	0.880033273126839	0.927251193992461	0.936890922255342	0.9223682590079
HTR1D	0.832754759107388	0.874293284865544	0.868954973250311	0.903723890381914	0.88875570938539	0.841792950603764	0.875960774981526	0.873962942437196	0.851136297796074	0.869446245345696	0.885985688533061	0.879980706213935
HTR1E	1.00986533587516	0.952181097654107	0.987754878807694	1.03868870260704	0.942577227161932	1.00820289820076	0.972665735309765	0.931342477950907	0.934421324353625	1.09487849664767	0.999983573316904	1.0342634187742
HTR1F	1.16306086519978	1.07281008245088	1.17948257893686	1.01893317020189	1.0591057625904	1.0825684312106	0.98660381122919	0.97603955297172	0.958237327488163	1.07300817423543	0.995021639609792	1.03327171019384
HTR2A	0.959639434635868	1.00619326715304	0.974678010962769	0.968474208088224	0.96570748332462	0.984274212457068	0.992688720987661	0.989098502700558	0.981973322851801	0.956147985335736	0.999119160889867	0.95086442775511
HTR2B	0.860740355377526	0.894121100082619	0.829742692269992	0.887547023223608	0.879734287264138	0.83538676563713	0.864758973489675	0.890781802458572	0.85184786068561	0.822994772583916	0.876154771676157	0.819998920482202
HTR2C	0.916739990812495	0.935210694087549	0.914654272281457	0.930964932817995	0.893375490957297	0.897391126979449	0.917731241964302	0.9581149772056	0.911227861556449	0.881587314019323	0.872995549660911	0.909160290432448
HTR3A	0.946605145213062	0.974609754955495	0.912001660763843	0.993965129987464	0.948603963259837	0.962324649887651	0.977758002105642	1.00904493651944	0.968228683918989	1.04630425763825	0.996018638243789	1.00894082051132
