	CFU_E_1	CFU_E_2	CFU_E_3	Pro_E_1	Pro_E_2	Pro_E_3	Int_E_1	Int_E_2	Int_E_3	Late_E_1	Late_E_2	Late_E_3
NDOR1	1.37700254734172	1.22139015652786	1.43017257987901	1.51879992191026	1.28321402719942	1.55608451303662	1.25161527216341	1.34469796651085	1.43492177878945	1.46571474695118	1.12353687373493	1.45677769151789
NDP	0.862757098720918	0.990311970806138	0.943624170368129	0.934848839443134	0.972149676019068	0.935991229723584	0.950444712618627	0.960842120355195	0.962424681376582	0.905646401487936	0.999503456728247	0.957541346061003
NDRG1	0.947338364748666	1.02805843722625	1.01351190812424	1.16153302149134	1.17513016923139	1.15649479066676	2.61854578913681	2.28029787526343	2.63918371663353	2.05917162625284	1.69779317913632	1.85566863370611
NDRG2	1.09429709846427	1.07670998721785	1.01553427323159	0.967979574951551	0.966153510719494	1.02361567689202	1.00858521664459	1.01820347065788	0.98080740661142	0.965745017862032	1.03673872978682	0.961549758137183
NDRG3	2.28271405027669	2.38318459176912	2.58531981525987	2.32323901126713	2.48313685397506	2.52393028744032	1.7930789141994	1.62053180155419	1.50078302925988	1.36871522763596	1.23251198063646	1.30708356650255
NDRG4	0.961711727563332	0.96277361901004	0.947569688820048	0.960598084023021	0.929352538540825	0.968576286878031	1.01210750494183	0.974209365491988	1.01955665152212	0.928581348099798	1.01417335678048	1.07578269811752
NDST1	1.37673425375296	1.54614461198722	1.34369114878512	1.27628792518398	1.34719301062916	1.35361493721502	1.11359702902716	1.10346965054287	1.15535162117325	1.10978698116463	1.15503302154476	1.11050665856555
NDST2	1.32008478096743	1.28483867273384	1.36998420797633	1.34916151872609	1.20953650471722	1.39776816489013	1.33023839493447	1.3087352960959	1.52190115455451	1.39108937966461	1.62780653573224	1.58219026554201
NDST3	1.03903837598731	1.00563942709284	0.965602160240837	1.03998376096785	0.960067491021671	0.893164784477382	1.01014805379043	0.954501875788614	0.99697651780388	0.990165383629184	1.08167570676568	0.942283354899924
NDST4	0.955584134199861	0.896946802426535	0.987262413192076	0.919233366393417	0.938937714522982	0.920610811262107	0.951898768644178	0.91737853893048	0.966502981550894	0.986379757831376	0.943003318271255	0.969956272928068
NDUFA1	2.34834270243271	3.85095948980341	3.48429815286556	3.07562021300627	4.34904498490227	3.47803963227633	3.34958405176216	3.3319094950719	2.8715332429478	1.54507861175655	2.19383445232803	2.05440158032506
NDUFA10	1.96712128374306	1.9367029863679	2.12593751284672	2.12377124329429	2.05635418438715	2.16113738913568	1.83605397768167	1.84144113938169	1.85912462868905	1.32717718106498	1.16866382322423	1.24147165143109
NDUFA13	1.71522873302424	2.14564404909368	2.69924118086282	2.2540050927169	2.59301645304126	2.5633600521505	1.92437195129388	1.87389976034322	2.16997779058849	1.15096042486973	1.45120626250696	1.55617164866762
NDUFA2	1.6138801827667	2.26376119522436	2.48053020157911	1.99315329704147	2.55185811023785	2.78674529138422	2.7823033025334	2.55925287748408	3.11419552288941	3.03210319511527	5.08858232918529	5.5609493248354
NDUFA3	1.5615057731721	1.71609658014156	1.97773210513506	1.68818545715199	1.76152054595697	1.96901088714209	1.70347450422596	1.76479952515167	1.99891765489428	1.36974671856316	1.32659878001151	1.57794323983116
NDUFA4L2	0.902508529540166	1.05037003117222	0.949386087906204	0.962757750440716	0.994984808751752	0.988082046872272	0.985521665226156	0.944993427587634	0.921541904711315	0.982142335966389	0.986844026430185	0.918077876112078
NDUFA5	3.69909365410324	3.89598558278455	3.77410222531322	3.8655250993207	3.48180895185574	4.15744084386716	3.82870735103041	3.27848275116495	3.60566192248683	2.09712376744293	1.42973658225738	1.7748457365772
NDUFA6	2.01263240140536	3.00136538660404	2.41282124126025	3.12230484856217	3.13797282512818	2.68735801222633	2.99895197440828	3.36124823676981	2.83841920151068	2.06473265721623	4.06767474216913	2.74457786586016
NDUFA7	1.48231213512623	1.88663625602597	2.09825763969521	1.86181728023235	2.04760458905223	2.14491258247948	1.85608166910694	1.85186704808444	1.96545052539062	1.27840363890505	1.16057802724855	1.1730648792121
NDUFA8	1.95871421534874	2.93569054793343	2.69266699689896	1.90724876720118	2.96010101227344	2.48354240594081	3.17899973058443	2.99161124967041	2.5886938905236	1.48717005700855	1.20576319092437	1.47631931015219
NDUFA9	3.28036928139684	3.14383441950446	3.43526800944348	3.46891257815747	3.25770463501055	3.44754914991507	2.68020606332614	2.6218113726596	2.80085755618503	1.58766751699203	1.13090807649809	1.25390257929895
NDUFAB1	3.46962577943386	3.8961922228396	3.91211219904962	3.77282344471836	3.77796572921993	3.95487562838926	2.95451392606309	2.87171017289822	2.85179166747579	1.73938460156411	1.73817557616088	1.69284928195824
NDUFAF1	1.79796367121638	2.07396204881169	2.03995065237972	1.98810150362801	2.03940197844894	2.02632154801239	1.58770248388932	1.47283953904233	1.32627808747166	1.06189620850066	0.967313483372308	0.984223759736539
NDUFAF3	1.20438128388161	1.62580547942557	1.9739814873799	1.59879847730687	1.99420556416918	2.08253555067405	1.63717488153005	1.7202912666644	2.25983757242914	1.63075812823642	1.67556596901553	1.62107991176054
NDUFAF4	1.87429761039561	2.04438051611882	1.93000516533477	1.95777532250324	1.88165550637831	1.8422769196509	1.41996919536815	1.40683595282737	1.2762094278791	1.03952294573175	1.03807728549792	1.06775855398136
NDUFAF5	1.25927012251012	1.4630042200135	1.43633969219316	1.3668305552176	1.40016425518204	1.34680879991622	1.35915760522342	1.36163045030235	1.32197123596815	1.07386192127229	1.00685006393454	1.04916673226796
NDUFAF7	1.49459302434047	1.93144244377941	1.76968317786135	1.62181258549507	1.96154249146657	1.84746924926284	2.03498669462006	1.90580902636707	1.58475859244942	1.25771430941008	1.37188734622949	1.38491138419106
NDUFB1	2.79365042854995	3.47627926013709	3.50087835306761	3.1582249369939	3.85052618342419	3.47937772461945	3.71494520092904	3.66467152406552	3.32280801347565	1.57451087783381	2.32645362786708	1.95340222293821
NDUFB11	2.7199143271331	2.39682243423493	2.89834212560077	2.90192690732258	2.53913302843786	2.83344757079588	2.10154193133783	2.21942833152653	2.7673364461305	1.72546562164801	1.16946721303678	1.51799420995676
