Var1	CD34neg_CD71lo_GlyApos	CD34neg_CD71neg_GlyApos	CD34neg_CD71pos_GlyAneg	CD34neg_CD71pos_GlyApos	CD34pos_CD71pos_GlyAneg
SYNJ1	7.83175261583359	7.83297719590049	7.94247892235598	8.09626024389927	7.46013048664198
SYNPO2L	4.83633214511129	4.78089738846053	4.70189480355065	4.6981772070487	4.7533298671754
TADA3	7.21871119422936	7.0757266643585	7.51752413270974	7.31071309637782	7.28094454980301
TBC1D8B	5.01376392314434	4.96110428449053	4.86672258563636	4.77080974028901	4.90320570207285
THRB	6.89842777766617	6.88269846233603	6.72120965080447	6.79154544667973	6.6625387892493
TIMM44	7.30592660730595	7.53449140359583	7.61778750414665	7.22258946867546	7.98955818769391
TLL1	4.4581376696248	4.43437340880478	4.36361467621676	4.52592065055903	4.39137564696764
TSC1	8.11893551024293	7.96892600613569	7.89874968084318	8.20495929712978	8.04644075449331
TTF1	7.72964433019008	7.69099002749141	7.37362925394582	7.61288377334512	8.0480034365719
UBE2G1	9.02786404821429	9.43698998495955	9.4554638217156	9.26734017390245	9.14755748459398
USP11	7.02251507353697	7.04196232114496	7.14499720479911	7.1392178107794	7.34498320264479
VAC14	7.85502024262494	7.35996315987694	7.55186367026842	7.45617355102755	7.55683414334377
VAMP4	7.93414498745772	8.31033587471293	8.68447276079495	8.00048302590017	8.61834151953673
WDR59	8.5329176375944	8.52667575826562	8.52283534715885	8.94917961457137	8.63190851770915
WFDC8	4.68786358003404	4.69342728346071	4.62201195603539	4.76301912631898	4.69183011207946
YKT6	6.4755527340036	6.110421017422	6.85245425958787	6.55926063600532	6.37781430790096
ZC3H3	6.51656615218909	6.58684248139417	6.30501334177693	6.43072564044997	6.31396927687651
