	DBA_A	DBA_B	DBA_C	Control_A	Control_B	Control_C	Control_D	Control_E	Control_F
ANKRD10-IT1	1.88011638971491	1.9263065958243	1.81986804002405	2.00661956211361	1.90820888040948	1.84786972475056	1.93549525695063	1.87778567408619	1.87049393901196
ANKRD11	1.30931192108748	1.02835116677823	1.05254085167561	1.00156334498789	1.01973584811153	0.967985805173761	1.32368419795939	1.16378393625655	1.06222356217455
ANKRD12	2.45678675756176	1.77801561648577	1.95868193772666	1.85881972875825	1.6238595257459	1.53818445019888	2.12167841853902	1.61756201161528	2.08485153818382
ANKRD17	1.6868032775887	1.45144891459482	1.60965044827421	1.4423291110264	1.30095377449687	1.41073537499734	1.57312768573857	1.3260777001147	1.9403783142451
ANKRD2	0.952238400720976	0.952322523774731	0.967961369987161	0.960266187040098	0.985253279153932	0.96951967945287	0.958553749750736	0.942802466359421	0.996094945095639
ANKRD26	1.29540317531285	1.09621857979166	1.19150359226013	1.13190936315068	1.15171293567219	1.24927237227835	1.16684569677463	1.18293441939724	1.32876138222984
ANKRD27	3.72794203442667	3.56951727324243	3.19160533830398	3.35465717090091	3.62967918764826	3.45228872039928	3.31604070587686	2.71184402238096	3.63760961134796
ANKRD28	2.65321777171749	2.28887369385029	2.35645797619271	1.97893088061591	2.68951896117703	2.36160301403859	2.1340721561752	2.31224400375193	2.21415190283385
ANKRD34C	0.976883695813877	0.844757986456123	0.869590416872838	0.874083765172965	0.861190160418904	0.900375350975389	0.923380338697622	0.870200768854924	0.914469503985641
ANKRD36B	1.25494849066242	1.02695652631947	1.18149245620707	1.04296478150372	1.05772188214129	1.03319226812114	1.43041104017961	1.33125143764393	1.23218364256844
ANKRD36BP2	0.93910461672103	0.905036312527592	0.881026695975821	0.908215329069179	0.925070524239267	0.90165625859961	0.957661893976579	0.944409118728012	0.915117056927442
ANKRD40	1.24946037685809	1.2832513110033	1.27504273125344	1.17720404210816	1.16451484162253	1.22013310152215	1.31107594863677	1.25447957757807	1.26321237723171
ANKRD46	1.64001742492793	1.64134377985958	2.04658789200168	1.56337399873189	1.49568254123574	1.67940865234473	1.82060493390704	1.51385114431717	2.03045440971497
ANKRD49	2.4314208996549	2.0844096401925	2.41422226995851	2.47228049040379	2.7273949774946	2.22636066118894	2.37475821466427	2.08648113206017	1.9623690699166
ANKRD53	0.967866994246917	0.937926523272852	0.997076475135533	0.956753298970307	0.918239790551922	0.924641749601395	0.997995805933537	0.999242307647081	1.02119166199314
ANKRD55	0.984169110354202	0.916551215232814	0.886917604298888	0.881699586904381	0.902764922419516	0.877131072242325	0.903792993411333	0.912027118557609	0.915375022379012
ANKRD6	1.2526366095681	1.152038908193	1.50456545121178	1.12099336486531	1.29101537806044	1.27256699322836	1.11162577729763	1.17581342977052	1.1274728223004
ANKRD7	0.941193571726749	0.906607163379993	0.940085899069868	0.934128925882065	0.875760634898942	0.863850478301067	0.887681944260584	0.848244221630116	0.856082353071882
ANKS1A	1.68885166865449	1.49281025286307	1.44547123454089	1.57720285576374	1.66665299022346	1.44815222212709	1.49598188842359	1.5547062717943	1.4926080432662
ANKS1B	0.839871066413235	0.83355291743052	0.834696697391663	0.846153946872733	0.852672508528035	0.822454945435597	0.847078829608474	0.842921868165564	0.863936547255694
ANKZF1	1.23146649808012	1.13707345949356	1.12582514561264	1.2073440070515	1.17283327907813	1.1497496839259	1.16707758719234	1.10450184094849	1.13658167655199
ANO1	0.873394318988969	0.835848846619516	0.859267855518417	0.888370729018414	0.870297761133984	0.904264379666921	0.847325513010149	0.875099726460583	0.908779218104011
ANO10	1.55108630585435	1.36120602614653	1.42059049958384	1.44917149922278	1.48427038554709	1.41064944657128	1.44208225034578	1.33882566365936	1.30324470747794
ANO2	0.915687506145293	0.907558724466874	0.940635232929203	0.957301411883189	0.906298382102315	0.921302036888923	0.923459869036779	0.918327927519375	0.912321338837256
ANO3	1.08029468113303	0.993315047034043	1.01359198785282	1.04078880474533	0.944999558949305	0.992374824466728	1.00256465294292	0.995937971264099	0.986788822268449
ANOS1	0.962235545125736	1.03810052570261	1.20110693740793	0.909242632326644	1.02710024497795	0.927270940751167	0.895377281257447	0.936455888441245	0.939646563687399
ANP32A-IT1	1.04867265373127	0.921851937944652	0.981816711257183	0.9979356962813	1.00578368511577	0.972452830361292	1.00685249719393	0.952178339584568	0.993589879975483
ANP32B	7.28284791287071	9.48787872939496	7.93872027643768	8.20297803598502	8.27927265774205	8.71001110905197	8.86675473858237	10.6410928869127	8.21864908894395
ANP32C	0.978324085692232	1.02442153852035	1.00972507011654	0.98581967518263	0.988475439060026	0.983245611931965	1.00494483188913	1.12347978894407	1.02355718599297
ANP32D	0.963732588477861	1.0243762272761	1.01352912944342	0.997158919266153	0.957758928107105	0.988852267602934	0.948976744889856	0.922051018458257	0.928976517787621
