	Ery_C1_cells	Ery_C2_cells	Ery_C3_cells	Ery_C4_cells	Ery_C5_cells	Ery_C6_cells	Ery_D1_cells	Ery_D2_cells	Ery_D3_cells
RLN2	1.37086380907739	1.25102601258751	1.27907232381928	1.44241767127741	1.3532012881207	1.44463752559023	1.31334306679013	1.20861818980933	1.43042073253286
RMDN1	2.80598334231941	2.78624864952713	2.64028205556734	2.91845465166054	1.99424852227398	2.30913772015834	2.60247735059162	2.43418551672512	2.28559304292426
RMDN3	2.39286577210042	1.75366114616942	1.83420516423988	1.8961198466026	1.61456582119191	2.01017672102853	2.10964484535641	2.78755041978829	1.9085426705785
RMI1	2.56540555593775	2.0274504165295	2.21061183847519	1.76665306994035	1.65672516668502	2.80111180257907	2.56351444419916	2.51393026172015	2.38132184551672
RMND1	1.23362399213275	1.23442854829269	1.42112850930964	1.41039196533974	1.18884316453549	1.23251991973447	1.28508260317658	1.3352155484974	1.29859425821134
RMND5A	2.51074220615947	2.53854163909334	2.21694902085984	2.27058855702908	2.14581656929678	2.43244044929104	2.65367358564491	2.12175413963958	2.18448407727088
RMND5B	1.46563219382693	1.32419608795474	1.2964627403015	1.32187771067963	1.19353299039574	1.30917104124692	1.47630014659055	1.56285536762962	1.27532174455601
RNASE1	1.35302754285154	1.3668552293271	1.44307571815901	1.39848044216643	1.20420267816299	1.25304590930823	1.36800599363866	1.87664900118591	1.28641174776702
RNASE2	6.20639726164889	5.6768991493325	7.24846930700914	6.43907657376261	7.70688978250451	3.93621563405103	3.23742189624666	3.29802831883365	3.41532181770814
RNASE3	2.96383726644633	3.06300997334067	3.58777097220083	3.23961212719065	3.49814325449433	1.9554316090434	1.52407255867717	1.49877731718281	1.72081545848917
RNASE6	1.68776464924986	1.92273124777669	1.96080180252161	2.06569989158447	1.81019543125543	1.83884265553799	1.62584494475464	1.87957285978273	1.87775271109216
RNASEH1	2.58361118902666	3.04546481256482	2.46392184055697	2.85928403032757	2.45363017912562	2.3915657839265	2.824295618887	3.09306191637267	2.48393482927231
RNASEH2A	2.67552069843774	2.48409220634027	2.42356932947153	2.32459253375652	1.88515493634716	2.06598654874103	2.12398369981538	2.67421065602509	1.90639240190853
RNASEH2B	2.35008196907846	2.56069427502188	2.4712574201644	2.50698777699498	2.60302489178361	2.1955958385536	2.53418011118079	2.21508909322456	2.60529518957264
RNASEL	1.10322814842583	1.04711908855072	1.08648243183338	1.06990597226168	1.09392762715907	1.09426756680674	1.15789272173791	1.13958605018037	1.10227866963515
RNASET2	2.90469254456501	4.50697594498733	2.96181622213436	2.63684240708501	3.40946126495171	3.06684186926432	2.93733014837759	3.57014475822908	2.83518300948171
RND1	0.880257555986063	0.900590215644736	0.872292120123244	0.927917827924888	0.865459871533474	0.916879292439484	0.931037864128657	0.895425441235111	0.954276085985451
RND2	1.02820515636873	1.0410062152904	1.00037996688471	1.03190139621675	1.01780747990691	1.02466784261433	0.973947818950178	0.977623639277343	1.01037773918801
RND3	0.888812943259605	0.948598819258732	0.939423021903128	0.950166037570827	1.00713707930408	1.03717336935494	1.040630461132	0.996248339775299	1.01327959445542
RNF10	2.41343951554762	2.69823152250207	2.19912954856225	2.31639790959761	2.11986178546168	2.11027082782436	2.69108046043646	2.2737712239942	2.24482473729148
RNF11	3.33192601095391	2.66289770963558	2.26976427750813	2.60619449301081	2.49034866153674	2.56356937644175	2.71847589687752	2.29101013891256	2.75320503480369
RNF111	2.397883357729	2.01484888227675	2.15534201648327	2.5650828678396	1.95331780883189	2.59876329219612	2.85441319821894	2.14014275603372	2.50828493567215
RNF113A	1.87506992245675	1.85225297527738	2.09785891261817	1.90628615759055	1.74771009740351	1.81765024133996	1.75472639258763	2.28875769703436	1.83236258514172
RNF114	3.10707419672646	4.25699186876111	3.91572431338316	4.05010740292386	3.90429550662834	3.879455530566	3.99100638731064	2.9768546863913	3.96398897811407
RNF115	2.39281966508059	2.13671005041055	2.12230584187417	2.14403189174846	2.07753351850552	1.92788399551245	2.13847365567009	2.19947206463199	2.23622023053422
RNF121	1.22668076122847	1.22305836262719	1.23806511452441	1.18102875686023	1.16193334674637	1.34894319609615	1.47488639499929	1.48743599960456	1.36856632867254
RNF122	1.14999769628099	1.16376461389642	1.19247833043694	1.19461125100307	1.19126010058568	1.19180881324249	1.15982423012391	1.22440740532803	1.24773393222146
RNF123	1.97759514974272	1.59633924402904	1.55616222007269	1.44711999787349	1.56828337769232	1.56502269554237	1.74634387093289	1.86075821106613	1.60439498062483
RNF125	1.1389356252497	1.30064741012554	1.35808002109652	1.17973333063693	1.21479163931517	1.15994556899246	1.20077074126832	1.17007416052006	1.23708614421422
RNF126	1.20242200216036	1.23950891398277	1.1867526800177	1.17187563859244	1.2286975702694	1.18704073813109	1.2967374155903	1.19487125117711	1.27051130080794
RNF126P1	1.16429038734555	1.04915893263625	1.05802837229026	1.05890764153689	1.10627890793807	1.14544031499892	1.15519064437956	1.13010438993316	1.14630968374032
